"tax_id","org_name","isolation_source","metabolism","cogem_classification"
1399,"Bacillus firmus","human, blood","Aerobic",NA
673,"Grimontia hollisae","human, feces","Aerobic","2"
674,"Vibrio mimicus","human, ear","Aerobic","2"
1559,"Clostridium tertium","human, abdomen","Anaerobic","2"
732,"Aggregatibacter aphrophilus","human, pleural fluid","Aerobic","2"
80866,"Delftia acidovorans","human","Aerobic",NA
43770,"Corynebacterium striatum","human, urine","Aerobic","2"
316,"Pseudomonas stutzeri","sea water","Aerobic",NA
108981,"Acinetobacter schindleri","human, blood","Aerobic",NA
287,"Pseudomonas aeruginosa","human, urine","Aerobic","2"
303,"Pseudomonas putida","human, blood","Aerobic",NA
1750,"Pseudopropionibacterium propionicum","small concretions from human lacrymal duct","Anaerobic",NA
37637,"Corynebacterium pseudodiphtheriticum","human, sputum","Aerobic","2"
43770,"Corynebacterium striatum","human, abscess","Aerobic","2"
663,"Vibrio alginolyticus","human, wound","Aerobic","2"
478,"Moraxella nonliquefaciens","human, blood","Aerobic",NA
1402,"Bacillus licheniformis","human, blood","Aerobic",NA
36773,"Burkholderia sp.","human, blood","Aerobic",NA
292,"Burkholderia cepacia","human, bronchial swab","Aerobic",NA
1254,"Pediococcus acidilactici","pleural fluid","Aerobic",NA
28090,"Acinetobacter lwoffii","human, sputum","Aerobic",NA
131111,"Actinomyces turicensis","human, vagina","Anaerobic","2"
1018,"Capnocytophaga ochracea","human, blood","Anaerobic",NA
1019,"Capnocytophaga sputigena","human, blood","Anaerobic",NA
1396,"Bacillus cereus","cosmetic product","Aerobic",NA
82380,"Microbacterium oxydans","human, dog bite","Aerobic",NA
43770,"Corynebacterium striatum","human, drainage fluid","Aerobic","2"
43770,"Corynebacterium striatum","human, throat","Aerobic","2"
40324,"Stenotrophomonas maltophilia","dialysis bag","Aerobic",NA
34062,"Moraxella osloensis","human, psoriasis","Aerobic",NA
1559,"Clostridium tertium","human, blood","Anaerobic","2"
47885,"Pseudomonas oryzihabitans","human, blood","Aerobic",NA
1408,"Bacillus pumilus","human, blood","Aerobic",NA
753,"Pasteurella canis","dog bite","Aerobic","2"
40324,"Stenotrophomonas maltophilia","human","Aerobic",NA
1396,"Bacillus cereus","human, catheter","Aerobic",NA
410,"Methylobacterium organophilum","spinal fluid","Aerobic",NA
39791,"Corynebacterium glucuronolyticum","human, urine","Aerobic","2"
478,"Moraxella nonliquefaciens","human, tears","Aerobic",NA
33010,"Cutibacterium avidum","mammary outflow","Anaerobic",NA
47886,"Pseudomonas luteola","human, blood","Aerobic",NA
1408,"Bacillus pumilus","human, arm burn","Aerobic",NA
69367,"Microbacterium luteolum","soil","Aerobic",NA
69362,"Microbacterium schleiferi","sewage","Aerobic",NA
1714,"Cellulomonas uda","sugarcane field","Aerobic",NA
1714,"Cellulomonas uda","compost","Aerobic",NA
86664,"Bacillus flexus","cosmetic product","Aerobic",NA
40324,"Stenotrophomonas maltophilia","human, blood","Aerobic",NA
34062,"Moraxella osloensis","human, redon","Aerobic",NA
43765,"Corynebacterium amycolatum","human, throat","Aerobic","2"
1360,"Lactococcus lactis lactis","human","Aerobic",NA
38301,"Corynebacterium minutissimum","human, urine","Aerobic","2"
1698,"Brevibacterium epidermidis","human, skin","Aerobic",NA
33889,"Brevibacterium casei","cheese, cheddar","Aerobic",NA
1727,"Corynebacterium variabile","food","Aerobic","2"
1710,"Cellulosimicrobium cellulans","soil","Aerobic",NA
1708,"Cellulomonas fimi","soil","Aerobic",NA
38304,"Corynebacterium tuberculostearicum","tuna, tin","Aerobic","2"
37637,"Corynebacterium pseudodiphtheriticum","human, throat (child)","Aerobic","2"
82380,"Microbacterium oxydans","human, blood","Aerobic",NA
134533,"Acinetobacter parvus","human, sputum","Aerobic",NA
43765,"Corynebacterium amycolatum","human, ankle bone","Aerobic","2"
39791,"Corynebacterium glucuronolyticum","human, blood","Aerobic","2"
44283,"Pasteurella multocida multocida","human, cat bite","Aerobic","2"
28090,"Acinetobacter lwoffii","human, sternum","Aerobic",NA
32001,"Alcaligenes faecalis faecalis","human, feces","Aerobic",NA
292,"Burkholderia cepacia","human, blood","Aerobic",NA
43770,"Corynebacterium striatum","human, mediastinitis","Aerobic","2"
37637,"Corynebacterium pseudodiphtheriticum","human, nose","Aerobic","2"
28251,"Ornithobacterium rhinotracheale","turkey, lung","Aerobic","2"
294,"Pseudomonas fluorescens","human, blood","Aerobic",NA
38289,"Corynebacterium jeikeium","human, urethritis","Aerobic","2"
38289,"Corynebacterium jeikeium","human, anal swab","Aerobic","2"
38289,"Corynebacterium jeikeium","human, blood","Aerobic","2"
43765,"Corynebacterium amycolatum","human, jugular catheter","Aerobic","2"
760,"Pasteurella stomatis","human, nasal swab","Aerobic","2"
720,"Actinobacillus lignieresii","goat","Aerobic",NA
562,"Escherichia coli","canine","Aerobic","2"
38290,"Corynebacterium macginleyi","human, eye","Aerobic","2"
585,"Proteus vulgaris","human, ear","Aerobic","2"
38289,"Corynebacterium jeikeium","human, mikulicz's drain","Aerobic","2"
72556,"Achromobacter piechaudii","human, blood","Aerobic",NA
287,"Pseudomonas aeruginosa","shampoo","Aerobic","2"
38304,"Corynebacterium tuberculostearicum","human, blood","Aerobic","2"
287,"Pseudomonas aeruginosa","human, sputum","Aerobic","2"
253,"Chryseobacterium indologenes","human, bronchial aspiration","Aerobic",NA
1712,"Cellulomonas gelida","soil","Aerobic",NA
43670,"Cellulomonas cellasea","soil","Aerobic",NA
44283,"Pasteurella multocida multocida","human, foot osteoarthritis","Aerobic","2"
478,"Moraxella nonliquefaciens","human, nose","Aerobic",NA
33889,"Brevibacterium casei","human, abscess","Aerobic",NA
40324,"Stenotrophomonas maltophilia","human, sputum","Aerobic",NA
80866,"Delftia acidovorans","human, blood","Aerobic",NA
329,"Ralstonia pickettii","human, conjunctivitis","Aerobic",NA
1254,"Pediococcus acidilactici","human, feces","Aerobic",NA
1255,"Pediococcus pentosaceus","human, saliva","Aerobic",NA
294,"Pseudomonas fluorescens","human, gingiva pus","Aerobic",NA
34062,"Moraxella osloensis","human, conjunctiva","Aerobic",NA
34062,"Moraxella osloensis","human, spinal fluid","Aerobic",NA
529,"Ochrobactrum anthropi","human, blood","Aerobic",NA
1255,"Pediococcus pentosaceus","dried american beer yeast","Aerobic",NA
1255,"Pediococcus pentosaceus","sake mash","Aerobic",NA
54062,"Pediococcus parvulus","silage","Aerobic",NA
51663,"Pediococcus damnosus","lager beer yeast","Aerobic",NA
44252,"Paenibacillus macerans","human, blood","Aerobic",NA
43770,"Corynebacterium striatum","human, ankle wound","Aerobic","2"
38301,"Corynebacterium minutissimum","human, skin","Aerobic","2"
1406,"Paenibacillus polymyxa","human, vagina","Aerobic",NA
40214,"Acinetobacter johnsonii","human, gingival pus","Aerobic",NA
549,"Pantoea agglomerans","tobacco","Aerobic",NA
1406,"Paenibacillus polymyxa","tobacco","Aerobic",NA
38289,"Corynebacterium jeikeium","human, bedsore","Aerobic","2"
1308,"Streptococcus thermophilus","pasteurized milk","Aerobic","2"
33967,"Leuconostoc mesenteroides mesenteroides","fermenting olives","Microaerophilic",NA
61646,"Lelliottia amnigena","iris","Aerobic",NA
38289,"Corynebacterium jeikeium","human, thoracentesis","Aerobic","2"
1377,"Aerococcus viridans","human, pleural fluid","Aerobic",NA
518,"Bordetella bronchiseptica","human, lung","Aerobic","2"
285,"Comamonas testosteroni","human, urine","Aerobic",NA
43771,"Corynebacterium urealyticum","human, ear","Aerobic","2"
1396,"Bacillus cereus","dialysis fluid","Aerobic",NA
38301,"Corynebacterium minutissimum","human, pus after cat bite","Aerobic","2"
43770,"Corynebacterium striatum","human, blood","Aerobic","2"
44283,"Pasteurella multocida multocida","human, dog bite","Aerobic","2"
1255,"Pediococcus pentosaceus","human, feces","Aerobic",NA
1254,"Pediococcus acidilactici","human, saliva","Aerobic",NA
43765,"Corynebacterium amycolatum","human, nose","Aerobic","2"
303,"Pseudomonas putida","bag of blood","Aerobic",NA
126790,"Enterobacteriaceae spp.","human, urine","Aerobic",NA
33889,"Brevibacterium casei","human, sputum","Aerobic",NA
502,"Kingella denitrificans","human, throat","Aerobic",NA
1672,"Arthrobacter ramosus","soil, beech forest","Aerobic",NA
1677,"Arthrobacter pascens","soil","Aerobic",NA
1670,"Arthrobacter citreus","chicken, feces","Aerobic",NA
43663,"Paenarthrobacter aurescens",NA,"Aerobic",NA
43667,"Glutamicibacter uratoxydans","humus soil","Aerobic",NA
43767,"Rhodococcus equi","human, blood","Aerobic","2"
43771,"Corynebacterium urealyticum","human, abscess","Aerobic","2"
247,"Empedobacter brevis","human, blood","Aerobic",NA
1352,"Enterococcus faecium","human, redon fluid","Aerobic","2"
44283,"Pasteurella multocida multocida","human, bartholinitis","Aerobic","2"
1402,"Bacillus licheniformis","cosmetic product","Aerobic",NA
37637,"Corynebacterium pseudodiphtheriticum","human, conjunctivitis","Aerobic","2"
1559,"Clostridium tertium","human, skin ulcer","Anaerobic","2"
1455,"Bacillus badius","oyster","Aerobic",NA
69366,"Microbacterium flavescens","soil","Aerobic",NA
33918,"Microbacterium liquefaciens","milk","Aerobic",NA
1843,"Nocardioides jensenii","soil","Aerobic",NA
51664,"Lactobacillus dextrinicus","beer","Aerobic",NA
114090,"Pediococcus inopinatus","brewery yeast","Aerobic",NA
43767,"Rhodococcus equi","human, lung","Aerobic","2"
478,"Moraxella nonliquefaciens","human, eye pus","Aerobic",NA
253,"Chryseobacterium indologenes","human, bronchial secretion","Aerobic",NA
33966,"Leuconostoc mesenteroides dextranicum",NA,"Aerobic",NA
1765,"Mycobacterium bovis","bovine, tuberculosis","Aerobic","3"
1624,"Lactobacillus salivarius","human, vagina","Aerobic",NA
478,"Moraxella nonliquefaciens","human, conjunctivitis","Aerobic",NA
13689,"Sphingomonas paucimobilis","human, blood","Aerobic",NA
33987,"Exiguobacterium aurantiacum","human, urine","Aerobic",NA
43771,"Corynebacterium urealyticum","human, blood","Aerobic","2"
39791,"Corynebacterium glucuronolyticum","human, skin","Aerobic","2"
1396,"Bacillus cereus","human, blood","Aerobic",NA
90245,"Oligella urethralis","human, vagina","Aerobic",NA
2751,"Carnobacterium maltaromaticum","soil","Aerobic",NA
529,"Ochrobactrum anthropi","contamination of hplc","Aerobic",NA
65058,"Corynebacterium ulcerans","human, throat","Aerobic","2"
41170,"Exiguobacterium acetylicum","human, nose","Aerobic",NA
37637,"Corynebacterium pseudodiphtheriticum","human, throat","Aerobic","2"
1421,"Lysinibacillus sphaericus","human, blood","Aerobic",NA
44283,"Pasteurella multocida multocida","human, blood","Aerobic","2"
504,"Kingella kingae","human, osteitis","Aerobic",NA
43765,"Corynebacterium amycolatum","human, urine","Aerobic","2"
82633,"Cupriavidus pauculus","human","Aerobic",NA
34062,"Moraxella osloensis","human, lung","Aerobic",NA
1402,"Bacillus licheniformis","human","Aerobic",NA
1304,"Streptococcus salivarius","human blood, acute articular rheumatism","Aerobic","2"
60443,"Terrabacter tumescens","garden soil","Aerobic",NA
34062,"Moraxella osloensis","human, catheter","Aerobic",NA
134533,"Acinetobacter parvus","human, blood","Aerobic",NA
498,"Psychrobacter immobilis","skin of cod","Aerobic",NA
498,"Psychrobacter immobilis","skate, skin","Aerobic",NA
486,"Neisseria lactamica","human, throat","Aerobic",NA
1404,"Bacillus megaterium","human, vesicular fluid","Aerobic",NA
329,"Ralstonia pickettii","distiller","Aerobic",NA
43765,"Corynebacterium amycolatum","human, pleural fluid","Aerobic","2"
1396,"Bacillus cereus","human, leg ulcer","Aerobic",NA
124798,"Microbacterium phyllosphaerae","human, urine","Aerobic",NA
1396,"Bacillus cereus","human, haematoma","Aerobic",NA
498,"Psychrobacter immobilis","poultry","Aerobic",NA
498,"Psychrobacter immobilis","human, abscess","Aerobic",NA
498,"Psychrobacter immobilis","poultry carcass","Aerobic",NA
498,"Psychrobacter immobilis","abortion of mare","Aerobic",NA
498,"Psychrobacter immobilis","spinal fluid","Aerobic",NA
1833,"Rhodococcus erythropolis","human, blood","Aerobic",NA
38313,"Shewanella algae","conjunctivitis","Aerobic",NA
38304,"Corynebacterium tuberculostearicum","human, urethral swab","Aerobic","2"
1018,"Capnocytophaga ochracea","human, throat","Anaerobic",NA
1396,"Bacillus cereus","human, skin","Aerobic",NA
33010,"Cutibacterium avidum","pus, vulva","Anaerobic",NA
37734,"Enterococcus casseliflavus","bovine conjunctiva","Aerobic","2"
1018,"Capnocytophaga ochracea","human, sputum","Anaerobic",NA
28454,"Sphingobacterium multivorum","human, urine","Aerobic",NA
36740,"Dermabacter hominis","human, blood","Aerobic",NA
723,"Actinobacillus ureae","human, otitis pus","Aerobic",NA
43767,"Rhodococcus equi","human, broncho-alveolar lavage","Aerobic","2"
329,"Ralstonia pickettii","human, tracheal secretion","Aerobic",NA
38304,"Corynebacterium tuberculostearicum","human, skin","Aerobic","2"
37637,"Corynebacterium pseudodiphtheriticum","human, bronchial aspiration","Aerobic","2"
648,"Aeromonas punctata","human, blood","Aerobic",NA
719,"Actinobacillus hominis","human, deep-cough sputum","Aerobic",NA
123820,"Actinobacillus rossii","sow, vaginal discharge","Aerobic",NA
752,"Pasteurella bettyae","bartholin cyst","Aerobic","2"
47886,"Pseudomonas luteola","human, urine","Aerobic",NA
38304,"Corynebacterium tuberculostearicum","human, peritonitis","Aerobic","2"
38289,"Corynebacterium jeikeium","human, vagina","Aerobic","2"
1377,"Aerococcus viridans","human, spinal fluid","Aerobic",NA
32022,"Campylobacter jejuni jejuni","human, blood","Microaerophilic","2"
1718,"Corynebacterium glutamicum","peritoneal dialysis fluid","Aerobic","2"
1393,"Brevibacillus brevis","human, blood","Aerobic",NA
755,"Avibacterium gallinarum","chicken, sinus","Aerobic","2"
756,"Pasteurella langaaensis","chicken, respiratory tract","Aerobic","2"
750,"Gallibacterium anatis","duck, intestine","Aerobic","2"
760,"Pasteurella stomatis","dog, throat","Aerobic","2"
1402,"Bacillus licheniformis","pharmaceutical product","Aerobic",NA
43770,"Corynebacterium striatum","human, peritoneal dialysis","Aerobic","2"
293,"Brevundimonas diminuta","human, blood","Aerobic",NA
33917,"Microbacterium barkeri","sewage","Aerobic",NA
50728,"Curtobacterium albidum","chinese paddy","Aerobic",NA
33881,"Curtobacterium luteum","paddy","Aerobic",NA
723,"Actinobacillus ureae","human, sinus (child)","Aerobic",NA
43765,"Corynebacterium amycolatum","blood","Aerobic","2"
59814,"Pantoea dispersa","human, ear","Aerobic",NA
1473,"Virgibacillus pantothenticus","human pus, earth discharge","Aerobic",NA
1351,"Enterococcus faecalis","human, urine","Aerobic","2"
37928,"Arthrobacter crystallopoietes","soil","Aerobic",NA
438,"Acetobacter pasteurianus","vinegar","Aerobic",NA
201,"Campylobacter lari","dog, feces","Microaerophilic","2"
28090,"Acinetobacter lwoffii","human, peritoneal lavage","Aerobic",NA
529,"Ochrobactrum anthropi","human, conjunctivitis","Aerobic",NA
43770,"Corynebacterium striatum","human, vagina","Aerobic","2"
1351,"Enterococcus faecalis","human, vagina","Aerobic","2"
329,"Ralstonia pickettii","human, dialysis water","Aerobic",NA
329,"Ralstonia pickettii","human, eye","Aerobic",NA
41170,"Exiguobacterium acetylicum","human, conjunctiva","Aerobic",NA
47885,"Pseudomonas oryzihabitans","human, abdominal pus","Aerobic",NA
80866,"Delftia acidovorans","human, meconium (child)","Aerobic",NA
44283,"Pasteurella multocida multocida","human, appendix","Aerobic","2"
29432,"Psychrobacter phenylpyruvicus","human, trachea","Aerobic",NA
723,"Actinobacillus ureae","human, conjunctiva","Aerobic",NA
562,"Escherichia coli","human, blood","Aerobic","2"
1402,"Bacillus licheniformis","room","Aerobic",NA
1408,"Bacillus pumilus","room","Aerobic",NA
1402,"Bacillus licheniformis","dialysis","Aerobic",NA
29498,"Vibrio tubiashii","moribund larvae and juvenile hard clams","Aerobic","2"
691,"Vibrio natriegens","seawater enriched with succinate","Aerobic","2"
38289,"Corynebacterium jeikeium","blood","Aerobic","2"
754,"Pasteurella dagmatis","dog bite","Aerobic","2"
754,"Pasteurella dagmatis","human, pus","Aerobic","2"
238,"Elizabethkingia meningoseptica","human","Aerobic","2"
82380,"Microbacterium oxydans","human, epidermoid cyst","Aerobic",NA
144185,"Leifsonia aquatica","human, vesical biopsy","Aerobic",NA
43770,"Corynebacterium striatum","human, toe pus","Aerobic","2"
38289,"Corynebacterium jeikeium","human, spinal fluid","Aerobic","2"
1397,"Bacillus circulans","human, sputum","Aerobic",NA
1629,"Weissella viridescens","cured meat product","Aerobic",NA
646,"Aeromonas sobria","human, feces","Aerobic",NA
41170,"Exiguobacterium acetylicum","chicken","Aerobic",NA
584,"Proteus mirabilis","mouse","Aerobic","2"
43770,"Corynebacterium striatum","blood","Aerobic","2"
41170,"Exiguobacterium acetylicum","human, urine","Aerobic",NA
292,"Burkholderia cepacia","human, ear","Aerobic",NA
43771,"Corynebacterium urealyticum","human, pus","Aerobic","2"
38304,"Corynebacterium tuberculostearicum","human, urine","Aerobic","2"
90736,"Moritella marina","seawater","Aerobic",NA
44283,"Pasteurella multocida multocida","human, sputum","Aerobic","2"
1246,"Leuconostoc lactis","human, blood","Microaerophilic",NA
478,"Moraxella nonliquefaciens","human, sinus","Aerobic",NA
1396,"Bacillus cereus","child, food","Aerobic",NA
28175,"Vibrio orientalis","seawater","Aerobic","2"
671,"Vibrio proteolyticus","intestine, wood-boring isopod","Aerobic","2"
29497,"Vibrio splendidus","sea fish","Aerobic","2"
69362,"Microbacterium schleiferi","activated sludge","Aerobic",NA
38289,"Corynebacterium jeikeium","human, pus femur","Aerobic","2"
43770,"Corynebacterium striatum","human, trachea","Aerobic","2"
43767,"Rhodococcus equi","human, sputum","Aerobic","2"
752,"Pasteurella bettyae","human, pus","Aerobic","2"
37734,"Enterococcus casseliflavus","perfume","Aerobic","2"
37326,"Nocardia brasiliensis",NA,"Aerobic","2"
42906,"Serratia entomophila","diseased grass grub larva, costelytra zealandica","Aerobic",NA
2757,"Brochothrix campestris","soil","Aerobic",NA
38289,"Corynebacterium jeikeium","human, lung","Aerobic","2"
37637,"Corynebacterium pseudodiphtheriticum","sinus","Aerobic","2"
37638,"Pseudomonas alginovora",NA,"Aerobic",NA
43771,"Corynebacterium urealyticum","urine","Aerobic","2"
82380,"Microbacterium oxydans","contaminant of cell culture","Aerobic",NA
82380,"Microbacterium oxydans","tadpole, intestine","Aerobic",NA
250,"Chryseobacterium gleum","human, throat","Aerobic",NA
287,"Pseudomonas aeruginosa","sputum","Aerobic","2"
