species_tax_id,species,host,data_source,pathogen
59561,Trueperella bernardiae,human,Liamp-shaw,TRUE
1661,Trueperella pyogenes,ungulates,Liamp-shaw,TRUE
1661,Trueperella pyogenes,human,Liamp-shaw,TRUE
1661,Trueperella pyogenes,mammalia,Liamp-shaw,TRUE
1661,Trueperella pyogenes,primates,Liamp-shaw,TRUE
1661,Trueperella pyogenes,reptilia,Liamp-shaw,TRUE
1661,Trueperella pyogenes,aves,Liamp-shaw,TRUE
1661,Trueperella pyogenes,carnivora,Liamp-shaw,TRUE
184870,Varibaculum cambriense,human,Liamp-shaw,TRUE
1680,Bifidobacterium adolescentis,human,Liamp-shaw,TRUE
1689,Bifidobacterium dentium,human,Liamp-shaw,TRUE
216816,Bifidobacterium longum,human,Liamp-shaw,TRUE
28026,Bifidobacterium pseudocatenulatum,human,Liamp-shaw,TRUE
158787,Bifidobacterium scardovii,human,Liamp-shaw,TRUE
2702,Gardnerella vaginalis,human,Liamp-shaw,TRUE
230143,Scardovia wiggsiae,human,Liamp-shaw,TRUE
38284,Corynebacterium accolens,human,Liamp-shaw,TRUE
38286,Corynebacterium afermentans,human,Liamp-shaw,TRUE
43765,Corynebacterium amycolatum,human,Liamp-shaw,TRUE
43765,Corynebacterium amycolatum,ungulates,Liamp-shaw,TRUE
163202,Corynebacterium appendicis,human,Liamp-shaw,TRUE
42817,Corynebacterium argentoratense,human,Liamp-shaw,TRUE
169292,Corynebacterium aurimucosum,human,Liamp-shaw,TRUE
44750,Corynebacterium auris,human,Liamp-shaw,TRUE
99807,Corynebacterium auriscanis,human,Liamp-shaw,TRUE
36808,Corynebacterium bovis,human,Liamp-shaw,TRUE
36808,Corynebacterium bovis,mammalia,Liamp-shaw,TRUE
36808,Corynebacterium bovis,rodentia,Liamp-shaw,TRUE
36808,Corynebacterium bovis,ungulates,Liamp-shaw,TRUE
161896,Corynebacterium camporealensis,ungulates,Liamp-shaw,TRUE
679663,Corynebacterium canis,human,Liamp-shaw,TRUE
53374,Corynebacterium coyleae,human,Liamp-shaw,TRUE
35757,Corynebacterium cystitidis,ungulates,Liamp-shaw,TRUE
1717,Corynebacterium diphtheriae,human,Liamp-shaw,TRUE
1717,Corynebacterium diphtheriae,carnivora,Liamp-shaw,TRUE
1717,Corynebacterium diphtheriae,ungulates,Liamp-shaw,TRUE
108486,Corynebacterium falsenii,human,Liamp-shaw,TRUE
556548,Corynebacterium freiburgense,human,Liamp-shaw,TRUE
134034,Corynebacterium freneyi,human,Liamp-shaw,TRUE
39791,Corynebacterium glucuronolyticum,human,Liamp-shaw,TRUE
394964,Corynebacterium hansenii,human,Liamp-shaw,TRUE
38289,Corynebacterium jeikeium,human,Liamp-shaw,TRUE
38289,Corynebacterium jeikeium,carnivora,Liamp-shaw,TRUE
161879,Corynebacterium kroppenstedtii,aves,Liamp-shaw,TRUE
161879,Corynebacterium kroppenstedtii,human,Liamp-shaw,TRUE
35755,Corynebacterium kutscheri,human,Liamp-shaw,TRUE
35755,Corynebacterium kutscheri,rodentia,Liamp-shaw,TRUE
38290,Corynebacterium macginleyi,reptilia,Liamp-shaw,TRUE
38290,Corynebacterium macginleyi,human,Liamp-shaw,TRUE
161890,Corynebacterium mastitidis,rodentia,Liamp-shaw,TRUE
161890,Corynebacterium mastitidis,ungulates,Liamp-shaw,TRUE
43768,Corynebacterium matruchotii,ungulates,Liamp-shaw,TRUE
38301,Corynebacterium minutissimum,human,Liamp-shaw,TRUE
57171,Corynebacterium mucifaciens,human,Liamp-shaw,TRUE
571915,Corynebacterium mustelae,carnivora,Liamp-shaw,TRUE
38302,Corynebacterium mycetoides,human,Liamp-shaw,TRUE
43769,Corynebacterium propinquum,human,Liamp-shaw,TRUE
37637,Corynebacterium pseudodiphtheriticum,human,Liamp-shaw,TRUE
1719,Corynebacterium pseudotuberculosis,ungulates,Liamp-shaw,TRUE
1719,Corynebacterium pseudotuberculosis,human,Liamp-shaw,TRUE
1719,Corynebacterium pseudotuberculosis,mammalia,Liamp-shaw,TRUE
598660,Corynebacterium pyruviciproducens,human,Liamp-shaw,TRUE
258224,Corynebacterium resistens,human,Liamp-shaw,TRUE
156976,Corynebacterium riegelii,human,Liamp-shaw,TRUE
489915,Corynebacterium sputi,human,Liamp-shaw,TRUE
43770,Corynebacterium striatum,human,Liamp-shaw,TRUE
38304,Corynebacterium tuberculostearicum,human,Liamp-shaw,TRUE
65058,Corynebacterium ulcerans,carnivora,Liamp-shaw,TRUE
65058,Corynebacterium ulcerans,cetacea,Liamp-shaw,TRUE
65058,Corynebacterium ulcerans,rodentia,Liamp-shaw,TRUE
65058,Corynebacterium ulcerans,human,Liamp-shaw,TRUE
65058,Corynebacterium ulcerans,ungulates,Liamp-shaw,TRUE
65058,Corynebacterium ulcerans,primates,Liamp-shaw,TRUE
487732,Corynebacterium ulceribovis,ungulates,Liamp-shaw,TRUE
43771,Corynebacterium urealyticum,human,Liamp-shaw,TRUE
43771,Corynebacterium urealyticum,carnivora,Liamp-shaw,TRUE
401472,Corynebacterium ureicelerivorans,human,Liamp-shaw,TRUE
1725,Corynebacterium xerosis,human,Liamp-shaw,TRUE
1725,Corynebacterium xerosis,ungulates,Liamp-shaw,TRUE
29321,Turicella otitidis,human,Liamp-shaw,TRUE
37915,Dietzia maris,human,Liamp-shaw,TRUE
282305,Dietzia papillomatosis,human,Liamp-shaw,TRUE
263909,Gordonia araii,human,Liamp-shaw,TRUE
2054,Gordonia bronchialis,human,Liamp-shaw,TRUE
1004901,Gordonia iterans,human,Liamp-shaw,TRUE
249058,Gordonia otitidis,human,Liamp-shaw,TRUE
84595,Gordonia polyisoprenivorans,human,Liamp-shaw,TRUE
36822,Gordonia rubripertincta,human,Liamp-shaw,TRUE
36823,Gordonia sputi,human,Liamp-shaw,TRUE
2055,Gordonia terrae,human,Liamp-shaw,TRUE
36809,Mycobacterium abscessus,cetacea,Liamp-shaw,TRUE
36809,Mycobacterium abscessus,human,Liamp-shaw,TRUE
36809,Mycobacterium abscessus,carnivora,Liamp-shaw,TRUE
36809,Mycobacterium abscessus,primates,Liamp-shaw,TRUE
33894,Mycobacterium africanum,human,Liamp-shaw,TRUE
1288388,Mycobacterium algericum,ungulates,Liamp-shaw,TRUE
324058,Mycobacterium alsense,human,Liamp-shaw,TRUE
67081,Mycobacterium alvei,human,Liamp-shaw,TRUE
425468,Mycobacterium arosiense,human,Liamp-shaw,TRUE
342002,Mycobacterium arupense,human,Liamp-shaw,TRUE
1790,Mycobacterium asiaticum,primates,Liamp-shaw,TRUE
1790,Mycobacterium asiaticum,human,Liamp-shaw,TRUE
1790,Mycobacterium asiaticum,ungulates,Liamp-shaw,TRUE
319707,Mycobacterium aubagnense,human,Liamp-shaw,TRUE
1764,Mycobacterium avium,aves,Liamp-shaw,TRUE
1764,Mycobacterium avium,ungulates,Liamp-shaw,TRUE
1764,Mycobacterium avium,human,Liamp-shaw,TRUE
1764,Mycobacterium avium,carnivora,Liamp-shaw,TRUE
1764,Mycobacterium avium,mammalia,Liamp-shaw,TRUE
1764,Mycobacterium avium,primates,Liamp-shaw,TRUE
1764,Mycobacterium avium,rodentia,Liamp-shaw,TRUE
564198,Mycobacterium bacteremicum,human,Liamp-shaw,TRUE
146017,Mycobacterium boenickei,human,Liamp-shaw,TRUE
56425,Mycobacterium bohemicum,ungulates,Liamp-shaw,TRUE
56425,Mycobacterium bohemicum,human,Liamp-shaw,TRUE
1765,Mycobacterium bovis,carnivora,Liamp-shaw,TRUE
1765,Mycobacterium bovis,mammalia,Liamp-shaw,TRUE
1765,Mycobacterium bovis,ungulates,Liamp-shaw,TRUE
1765,Mycobacterium bovis,human,Liamp-shaw,TRUE
1765,Mycobacterium bovis,primates,Liamp-shaw,TRUE
43348,Mycobacterium branderi,human,Liamp-shaw,TRUE
146020,Mycobacterium brisbanense,human,Liamp-shaw,TRUE
228230,Mycobacterium canariasense,human,Liamp-shaw,TRUE
115862,Mycobacterium caprae,ungulates,Liamp-shaw,TRUE
115862,Mycobacterium caprae,human,Liamp-shaw,TRUE
28045,Mycobacterium celatum,human,Liamp-shaw,TRUE
28045,Mycobacterium celatum,aves,Liamp-shaw,TRUE
28045,Mycobacterium celatum,carnivora,Liamp-shaw,TRUE
222805,Mycobacterium chimaera,human,Liamp-shaw,TRUE
339268,Mycobacterium colombiense,human,Liamp-shaw,TRUE
451644,Mycobacterium conceptionense,human,Liamp-shaw,TRUE
44010,Mycobacterium conspicuum,human,Liamp-shaw,TRUE
258533,Mycobacterium cosmeticum,human,Liamp-shaw,TRUE
81858,Mycobacterium elephantis,mammalia,Liamp-shaw,TRUE
81858,Mycobacterium elephantis,human,Liamp-shaw,TRUE
761804,Mycobacterium europaeum,human,Liamp-shaw,TRUE
1776,Mycobacterium flavescens,human,Liamp-shaw,TRUE
292462,Mycobacterium florentinum,human,Liamp-shaw,TRUE
1766,Mycobacterium fortuitum,carnivora,Liamp-shaw,TRUE
1766,Mycobacterium fortuitum,mammalia,Liamp-shaw,TRUE
1766,Mycobacterium fortuitum,human,Liamp-shaw,TRUE
1766,Mycobacterium fortuitum,actinopterygii,Liamp-shaw,TRUE
1766,Mycobacterium fortuitum,ungulates,Liamp-shaw,TRUE
1777,Mycobacterium gastri,human,Liamp-shaw,TRUE
36812,Mycobacterium genavense,aves,Liamp-shaw,TRUE
36812,Mycobacterium genavense,primates,Liamp-shaw,TRUE
36812,Mycobacterium genavense,rodentia,Liamp-shaw,TRUE
36812,Mycobacterium genavense,human,Liamp-shaw,TRUE
36812,Mycobacterium genavense,carnivora,Liamp-shaw,TRUE
36812,Mycobacterium genavense,mammalia,Liamp-shaw,TRUE
36812,Mycobacterium genavense,ungulates,Liamp-shaw,TRUE
134601,Mycobacterium goodii,human,Liamp-shaw,TRUE
134601,Mycobacterium goodii,carnivora,Liamp-shaw,TRUE
134601,Mycobacterium goodii,ungulates,Liamp-shaw,TRUE
1778,Mycobacterium gordonae,human,Liamp-shaw,TRUE
1778,Mycobacterium gordonae,amphibia,Liamp-shaw,TRUE
29311,Mycobacterium haemophilum,reptilia,Liamp-shaw,TRUE
29311,Mycobacterium haemophilum,ungulates,Liamp-shaw,TRUE
29311,Mycobacterium haemophilum,human,Liamp-shaw,TRUE
110505,Mycobacterium heckeshornense,human,Liamp-shaw,TRUE
110505,Mycobacterium heckeshornense,carnivora,Liamp-shaw,TRUE
53376,Mycobacterium heidelbergense,human,Liamp-shaw,TRUE
512402,Mycobacterium heraklionense,human,Liamp-shaw,TRUE
83262,Mycobacterium immunogenum,human,Liamp-shaw,TRUE
33895,Mycobacterium interjectum,ungulates,Liamp-shaw,TRUE
33895,Mycobacterium interjectum,human,Liamp-shaw,TRUE
28445,Mycobacterium intermedium,aves,Liamp-shaw,TRUE
28445,Mycobacterium intermedium,human,Liamp-shaw,TRUE
1767,Mycobacterium intracellulare,human,Liamp-shaw,TRUE
912594,Mycobacterium iranicum,human,Liamp-shaw,TRUE
1768,Mycobacterium kansasii,carnivora,Liamp-shaw,TRUE
1768,Mycobacterium kansasii,mammalia,Liamp-shaw,TRUE
1768,Mycobacterium kansasii,primates,Liamp-shaw,TRUE
1768,Mycobacterium kansasii,reptilia,Liamp-shaw,TRUE
1768,Mycobacterium kansasii,ungulates,Liamp-shaw,TRUE
1768,Mycobacterium kansasii,human,Liamp-shaw,TRUE
1069220,Mycobacterium koreense,human,Liamp-shaw,TRUE
141349,Mycobacterium lentiflavum,human,Liamp-shaw,TRUE
1769,Mycobacterium leprae,human,Liamp-shaw,TRUE
1769,Mycobacterium leprae,mammalia,Liamp-shaw,TRUE
1769,Mycobacterium leprae,primates,Liamp-shaw,TRUE
64667,Mycobacterium lepraemurium,rodentia,Liamp-shaw,TRUE
64667,Mycobacterium lepraemurium,carnivora,Liamp-shaw,TRUE
280871,Mycobacterium llatzerense,human,Liamp-shaw,TRUE
1108812,Mycobacterium longobardum,human,Liamp-shaw,TRUE
53462,Mycobacterium mageritense,human,Liamp-shaw,TRUE
1780,Mycobacterium malmoense,human,Liamp-shaw,TRUE
560555,Mycobacterium mantenii,human,Liamp-shaw,TRUE
1781,Mycobacterium marinum,actinopterygii,Liamp-shaw,TRUE
1781,Mycobacterium marinum,amphibia,Liamp-shaw,TRUE
1781,Mycobacterium marinum,mammalia,Liamp-shaw,TRUE
1781,Mycobacterium marinum,reptilia,Liamp-shaw,TRUE
1781,Mycobacterium marinum,human,Liamp-shaw,TRUE
701042,Mycobacterium marseillense,human,Liamp-shaw,TRUE
1806,Mycobacterium microti,carnivora,Liamp-shaw,TRUE
1806,Mycobacterium microti,human,Liamp-shaw,TRUE
1806,Mycobacterium microti,mammalia,Liamp-shaw,TRUE
1806,Mycobacterium microti,rodentia,Liamp-shaw,TRUE
1806,Mycobacterium microti,ungulates,Liamp-shaw,TRUE
85693,Mycobacterium monacense,human,Liamp-shaw,TRUE
154654,Mycobacterium montefiorense,actinopterygii,Liamp-shaw,TRUE
56689,Mycobacterium mucogenicum,human,Liamp-shaw,TRUE
244292,Mycobacterium nebraskense,human,Liamp-shaw,TRUE
1795,Mycobacterium neoaurum,human,Liamp-shaw,TRUE
1782,Mycobacterium nonchromogenicum,human,Liamp-shaw,TRUE
153971,Mycobacterium palustre,human,Liamp-shaw,TRUE
53378,Mycobacterium paraffinicum,human,Liamp-shaw,TRUE
1389713,Mycobacterium paragordonae,human,Liamp-shaw,TRUE
1069221,Mycobacterium parakoreense,human,Liamp-shaw,TRUE
240125,Mycobacterium parascrofulaceum,human,Liamp-shaw,TRUE
43304,Mycobacterium peregrinum,actinopterygii,Liamp-shaw,TRUE
43304,Mycobacterium peregrinum,human,Liamp-shaw,TRUE
43304,Mycobacterium peregrinum,aves,Liamp-shaw,TRUE
319706,Mycobacterium phocaicum,human,Liamp-shaw,TRUE
194542,Mycobacterium pinnipedii,carnivora,Liamp-shaw,TRUE
194542,Mycobacterium pinnipedii,ungulates,Liamp-shaw,TRUE
194542,Mycobacterium pinnipedii,human,Liamp-shaw,TRUE
39693,Mycobacterium porcinum,human,Liamp-shaw,TRUE
39693,Mycobacterium porcinum,ungulates,Liamp-shaw,TRUE
39694,Mycobacterium poriferae,actinopterygii,Liamp-shaw,TRUE
39694,Mycobacterium poriferae,human,Liamp-shaw,TRUE
265949,Mycobacterium pseudoshottsii,actinopterygii,Liamp-shaw,TRUE
36814,Mycobacterium rhodesiae,human,Liamp-shaw,TRUE
486698,Mycobacterium riyadhense,human,Liamp-shaw,TRUE
404941,Mycobacterium salmoniphilum,actinopterygii,Liamp-shaw,TRUE
1783,Mycobacterium scrofulaceum,human,Liamp-shaw,TRUE
1783,Mycobacterium scrofulaceum,ungulates,Liamp-shaw,TRUE
1783,Mycobacterium scrofulaceum,primates,Liamp-shaw,TRUE
1783,Mycobacterium scrofulaceum,rodentia,Liamp-shaw,TRUE
98668,Mycobacterium septicum,human,Liamp-shaw,TRUE
431269,Mycobacterium setense,human,Liamp-shaw,TRUE
243061,Mycobacterium sherrisii,human,Liamp-shaw,TRUE
29313,Mycobacterium shimoidei,human,Liamp-shaw,TRUE
398694,Mycobacterium shinjukuense,human,Liamp-shaw,TRUE
133549,Mycobacterium shottsii,actinopterygii,Liamp-shaw,TRUE
1784,Mycobacterium simiae,aves,Liamp-shaw,TRUE
1784,Mycobacterium simiae,human,Liamp-shaw,TRUE
1784,Mycobacterium simiae,primates,Liamp-shaw,TRUE
1784,Mycobacterium simiae,carnivora,Liamp-shaw,TRUE
1772,Mycobacterium smegmatis,ungulates,Liamp-shaw,TRUE
1772,Mycobacterium smegmatis,human,Liamp-shaw,TRUE
1772,Mycobacterium smegmatis,carnivora,Liamp-shaw,TRUE
1787,Mycobacterium szulgai,amphibia,Liamp-shaw,TRUE
1787,Mycobacterium szulgai,mammalia,Liamp-shaw,TRUE
1787,Mycobacterium szulgai,reptilia,Liamp-shaw,TRUE
1787,Mycobacterium szulgai,human,Liamp-shaw,TRUE
1787,Mycobacterium szulgai,ungulates,Liamp-shaw,TRUE
1788,Mycobacterium terrae,human,Liamp-shaw,TRUE
1797,Mycobacterium thermoresistibile,human,Liamp-shaw,TRUE
701043,Mycobacterium timonense,human,Liamp-shaw,TRUE
39695,Mycobacterium tokaiense,human,Liamp-shaw,TRUE
47839,Mycobacterium triplex,human,Liamp-shaw,TRUE
1798,Mycobacterium triviale,human,Liamp-shaw,TRUE
1773,Mycobacterium tuberculosis,aves,Liamp-shaw,TRUE
1773,Mycobacterium tuberculosis,mammalia,Liamp-shaw,TRUE
1773,Mycobacterium tuberculosis,primates,Liamp-shaw,TRUE
1773,Mycobacterium tuberculosis,ungulates,Liamp-shaw,TRUE
1773,Mycobacterium tuberculosis,human,Liamp-shaw,TRUE
1773,Mycobacterium tuberculosis,carnivora,Liamp-shaw,TRUE
1809,Mycobacterium ulcerans,reptilia,Liamp-shaw,TRUE
1809,Mycobacterium ulcerans,human,Liamp-shaw,TRUE
1809,Mycobacterium ulcerans,mammalia,Liamp-shaw,TRUE
1809,Mycobacterium ulcerans,amphibia,Liamp-shaw,TRUE
1809,Mycobacterium ulcerans,carnivora,Liamp-shaw,TRUE
1809,Mycobacterium ulcerans,ungulates,Liamp-shaw,TRUE
59750,Mycobacterium wolinskyi,human,Liamp-shaw,TRUE
1789,Mycobacterium xenopi,human,Liamp-shaw,TRUE
1789,Mycobacterium xenopi,ungulates,Liamp-shaw,TRUE
1789,Mycobacterium xenopi,amphibia,Liamp-shaw,TRUE
1789,Mycobacterium xenopi,carnivora,Liamp-shaw,TRUE
120957,Nocardia abscessus,human,Liamp-shaw,TRUE
134964,Nocardia africana,human,Liamp-shaw,TRUE
134964,Nocardia africana,carnivora,Liamp-shaw,TRUE
134964,Nocardia africana,ungulates,Liamp-shaw,TRUE
756689,Nocardia amikacinitolerans,human,Liamp-shaw,TRUE
263910,Nocardia anaemiae,human,Liamp-shaw,TRUE
257277,Nocardia aobensis,human,Liamp-shaw,TRUE
228600,Nocardia araoensis,human,Liamp-shaw,TRUE
228602,Nocardia arthritidis,human,Liamp-shaw,TRUE
228602,Nocardia arthritidis,ungulates,Liamp-shaw,TRUE
209252,Nocardia asiatica,human,Liamp-shaw,TRUE
1824,Nocardia asteroides,actinopterygii,Liamp-shaw,TRUE
1824,Nocardia asteroides,aves,Liamp-shaw,TRUE
1824,Nocardia asteroides,cetacea,Liamp-shaw,TRUE
1824,Nocardia asteroides,primates,Liamp-shaw,TRUE
1824,Nocardia asteroides,human,Liamp-shaw,TRUE
1824,Nocardia asteroides,carnivora,Liamp-shaw,TRUE
1824,Nocardia asteroides,ungulates,Liamp-shaw,TRUE
95162,Nocardia beijingensis,human,Liamp-shaw,TRUE
480036,Nocardia blacklockiae,human,Liamp-shaw,TRUE
37326,Nocardia brasiliensis,cetacea,Liamp-shaw,TRUE
37326,Nocardia brasiliensis,human,Liamp-shaw,TRUE
37326,Nocardia brasiliensis,carnivora,Liamp-shaw,TRUE
37326,Nocardia brasiliensis,mammalia,Liamp-shaw,TRUE
37326,Nocardia brasiliensis,ungulates,Liamp-shaw,TRUE
257281,Nocardia concava,human,Liamp-shaw,TRUE
135487,Nocardia cyriacigeorgica,human,Liamp-shaw,TRUE
135487,Nocardia cyriacigeorgica,carnivora,Liamp-shaw,TRUE
135487,Nocardia cyriacigeorgica,ungulates,Liamp-shaw,TRUE
300029,Nocardia elegans,human,Liamp-shaw,TRUE
300029,Nocardia elegans,carnivora,Liamp-shaw,TRUE
290231,Nocardia exalbida,human,Liamp-shaw,TRUE
37329,Nocardia farcinica,cetacea,Liamp-shaw,TRUE
37329,Nocardia farcinica,human,Liamp-shaw,TRUE
37329,Nocardia farcinica,carnivora,Liamp-shaw,TRUE
37329,Nocardia farcinica,ungulates,Liamp-shaw,TRUE
358707,Nocardia harenae,human,Liamp-shaw,TRUE
228599,Nocardia higoensis,human,Liamp-shaw,TRUE
145285,Nocardia ignorata,human,Liamp-shaw,TRUE
341199,Nocardia kroppenstedtii,human,Liamp-shaw,TRUE
261477,Nocardia kruczakiae,human,Liamp-shaw,TRUE
279262,Nocardia mexicana,human,Liamp-shaw,TRUE
508464,Nocardia mikamii,human,Liamp-shaw,TRUE
236511,Nocardia neocaledoniensis,human,Liamp-shaw,TRUE
236511,Nocardia neocaledoniensis,ungulates,Liamp-shaw,TRUE
209249,Nocardia niigatensis,human,Liamp-shaw,TRUE
626084,Nocardia niwae,human,Liamp-shaw,TRUE
37330,Nocardia nova,aves,Liamp-shaw,TRUE
37330,Nocardia nova,human,Liamp-shaw,TRUE
37330,Nocardia nova,carnivora,Liamp-shaw,TRUE
37330,Nocardia nova,ungulates,Liamp-shaw,TRUE
1823,Nocardia otitidiscaviarum,human,Liamp-shaw,TRUE
1823,Nocardia otitidiscaviarum,carnivora,Liamp-shaw,TRUE
1823,Nocardia otitidiscaviarum,ungulates,Liamp-shaw,TRUE
114259,Nocardia paucivorans,human,Liamp-shaw,TRUE
228601,Nocardia pneumoniae,human,Liamp-shaw,TRUE
45979,Nocardia pseudobrasiliensis,human,Liamp-shaw,TRUE
53431,Nocardia salmonicida,actinopterygii,Liamp-shaw,TRUE
37332,Nocardia seriolae,actinopterygii,Liamp-shaw,TRUE
259390,Nocardia takedensis,human,Liamp-shaw,TRUE
228006,Nocardia tenerifensis,carnivora,Liamp-shaw,TRUE
455432,Nocardia terpenica,human,Liamp-shaw,TRUE
37333,Nocardia transvalensis,human,Liamp-shaw,TRUE
132249,Nocardia veterana,human,Liamp-shaw,TRUE
132249,Nocardia veterana,ungulates,Liamp-shaw,TRUE
480035,Nocardia wallacei,human,Liamp-shaw,TRUE
209247,Nocardia yamanashiensis,human,Liamp-shaw,TRUE
53972,Rhodococcus corynebacterioides,human,Liamp-shaw,TRUE
1833,Rhodococcus erythropolis,actinopterygii,Liamp-shaw,TRUE
1833,Rhodococcus erythropolis,human,Liamp-shaw,TRUE
1828,Rhodococcus fascians,human,Liamp-shaw,TRUE
33008,Rhodococcus globerulus,human,Liamp-shaw,TRUE
38312,Rhodococcus rhodnii,human,Liamp-shaw,TRUE
1829,Rhodococcus rhodochrous,human,Liamp-shaw,TRUE
286802,Segniliparus rotundus,human,Liamp-shaw,TRUE
286804,Segniliparus rugosus,human,Liamp-shaw,TRUE
286804,Segniliparus rugosus,carnivora,Liamp-shaw,TRUE
1671023,Tsukamurella hongkongensis,human,Liamp-shaw,TRUE
42777,Tsukamurella inchonensis,human,Liamp-shaw,TRUE
2061,Tsukamurella paurometabola,human,Liamp-shaw,TRUE
47312,Tsukamurella pulmonis,human,Liamp-shaw,TRUE
1671022,Tsukamurella sinensis,human,Liamp-shaw,TRUE
57704,Tsukamurella tyrosinosolvens,human,Liamp-shaw,TRUE
85044,Williamsia muralis,human,Liamp-shaw,TRUE
33889,Brevibacterium casei,human,Liamp-shaw,TRUE
31943,Brevibacterium iodinum,human,Liamp-shaw,TRUE
53363,Brevibacterium mcbrellneri,human,Liamp-shaw,TRUE
53364,Brevibacterium otitidis,human,Liamp-shaw,TRUE
170994,Brevibacterium paucivorans,human,Liamp-shaw,TRUE
479117,Brevibacterium ravenspurgense,human,Liamp-shaw,TRUE
264297,Cellulomonas denverensis,human,Liamp-shaw,TRUE
1713,Oerskovia turbata,human,Liamp-shaw,TRUE
36740,Dermabacter hominis,human,Liamp-shaw,TRUE
472569,Devriesea agamarum,reptilia,Liamp-shaw,TRUE
908252,Branchiibius cervicis,human,Liamp-shaw,TRUE
322601,Dermacoccus barathri,human,Liamp-shaw,TRUE
138300,Kytococcus schroeteri,human,Liamp-shaw,TRUE
1276,Kytococcus sedentarius,human,Liamp-shaw,TRUE
100225,Austwickia chelonae,reptilia,Liamp-shaw,TRUE
1863,Dermatophilus congolensis,carnivora,Liamp-shaw,TRUE
1863,Dermatophilus congolensis,reptilia,Liamp-shaw,TRUE
1863,Dermatophilus congolensis,rodentia,Liamp-shaw,TRUE
1863,Dermatophilus congolensis,ungulates,Liamp-shaw,TRUE
1863,Dermatophilus congolensis,human,Liamp-shaw,TRUE
1863,Dermatophilus congolensis,primates,Liamp-shaw,TRUE
1076331,Arsenicicoccus dermatophilus,aves,Liamp-shaw,TRUE
262209,Janibacter melonis,human,Liamp-shaw,TRUE
1365628,Canibacter oris,human,Liamp-shaw,TRUE
2035,Curtobacterium flaccumfaciens,human,Liamp-shaw,TRUE
444608,Gryllotalpicola ginsengisoli,human,Liamp-shaw,TRUE
144185,Leifsonia aquatica,human,Liamp-shaw,TRUE
462710,Microbacterium binotii,human,Liamp-shaw,TRUE
